City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Pevek,RU,2022-08-30 20:10:36,69.7008,170.3133,33.57,90,70,17.87
217,Longyearbyen,SJ,2022-08-30 20:10:36,78.2186,15.6401,39.04,75,75,5.75
218,Cayenne,GF,2022-08-30 20:10:36,4.9333,-52.3333,84.24,74,20,12.66
219,Santa Rosalia,MX,2022-08-30 20:10:37,27.3167,-112.2833,87.39,58,100,8.23
220,Asau,RO,2022-08-30 20:10:37,46.4333,26.4,67.12,90,100,4.97
221,Brigantine,US,2022-08-30 20:10:37,39.4101,-74.3646,91.2,73,0,10.36
222,Hofn,IS,2022-08-30 20:10:38,64.2539,-15.2082,52.93,99,100,14.76
223,Amahai,ID,2022-08-30 20:08:08,-3.3333,128.9167,75.87,88,100,2.17
224,Fortuna,US,2022-08-30 20:10:38,40.5982,-124.1573,63.52,88,0,12.66
225,Pisco,PE,2022-08-30 20:10:38,-13.7,-76.2167,64.02,77,6,10.36
226,Tiksi,RU,2022-08-30 20:10:39,71.6872,128.8694,41.65,93,100,8.08
227,Perris,US,2022-08-30 20:09:07,33.7825,-117.2287,104.38,27,0,12.66
228,Dong Hoi,VN,2022-08-30 20:10:39,17.4833,106.6,79.34,88,89,4.12
229,Spring Hill,US,2022-08-30 20:11:39,28.4769,-82.5255,92.17,88,0,6.91
230,Akyab,MM,2022-08-30 20:11:40,20.15,92.9,81.9,82,97,3.91
231,Neftcala,AZ,2022-08-30 20:11:40,39.3742,49.2472,79.88,61,0,8.99
232,Asifabad,IN,2022-08-30 20:11:40,19.3667,79.2833,77.79,85,41,2.53
233,Nanortalik,GL,2022-08-30 20:11:41,60.1432,-45.2371,39.9,90,78,14.5
234,Eyl,SO,2022-08-30 20:11:41,7.9803,49.8164,76.59,80,91,20.54
235,Brownsville,US,2022-08-30 20:09:07,25.9018,-97.4975,95.09,57,20,16.11
236,Ilulissat,GL,2022-08-30 20:11:41,69.2167,-51.1,55.42,41,9,13.8
237,Banska Bystrica,SK,2022-08-30 20:11:42,48.5,19.5,63.7,77,16,3.18
238,Lewiston,US,2022-08-30 20:07:41,44.1003,-70.2148,92.32,72,20,10.36
239,Komsomolskiy,UZ,2022-08-30 20:11:42,40.4272,71.7189,74.12,38,5,9.22
240,Xining,CN,2022-08-30 20:11:42,36.6167,101.7667,54.36,70,100,1.99
241,Stepnoye,RU,2022-08-30 20:11:43,51.4,46.8667,75.15,33,92,5.91
242,Taltal,CL,2022-08-30 20:11:43,-25.4,-70.4833,61.38,70,22,6.24
243,Nome,US,2022-08-30 20:07:37,64.5011,-165.4064,48.27,93,100,18.41
244,Lincoln,US,2022-08-30 20:11:40,40.8,-96.667,92.14,45,0,8.05
245,Aykhal,RU,2022-08-30 20:11:43,66.0,111.5,37.71,98,100,8.14
246,Tiarei,PF,2022-08-30 20:11:44,-17.5333,-149.3333,82.42,70,9,14.38
247,Miraflores,MX,2022-08-30 20:11:44,19.2167,-98.8083,72.36,69,96,4.21
248,Arlit,NE,2022-08-30 20:11:44,18.7369,7.3853,98.1,16,5,12.33
249,Praia,CV,2022-08-30 20:11:45,14.9215,-23.5087,81.14,65,75,14.97
250,Batticaloa,LK,2022-08-30 20:11:45,7.7102,81.6924,80.17,80,100,6.08
251,Lerwick,GB,2022-08-30 20:11:45,60.1545,-1.1494,53.6,76,100,13.42
252,Grand Gaube,MU,2022-08-30 20:11:45,-20.0064,57.6608,66.38,77,1,1.99
253,Faanui,PF,2022-08-30 20:11:46,-16.4833,-151.75,78.19,74,29,16.13
254,Swift Current,CA,2022-08-30 20:07:45,50.2834,-107.8014,85.44,25,4,3.09
255,Kavieng,PG,2022-08-30 20:11:46,-2.5744,150.7967,81.27,81,33,12.71
256,Bowen,AU,2022-08-30 20:11:47,-20.0167,148.2333,66.13,88,73,10.94
257,Datong,CN,2022-08-30 20:11:47,40.0936,113.2914,57.79,58,0,7.02
258,Srednekolymsk,RU,2022-08-30 20:11:47,67.45,153.6833,36.86,79,6,5.88
259,Isiro,CD,2022-08-30 20:11:47,2.7739,27.616,66.56,99,100,0.96
260,Chapada Dos Guimaraes,BR,2022-08-30 20:11:48,-15.4606,-55.7497,82.06,19,40,3.96
261,Port Blair,IN,2022-08-30 20:11:48,11.6667,92.75,81.25,83,54,8.57
262,Awash,ET,2022-08-30 20:11:48,8.9833,40.1667,72.41,72,19,5.21
263,Rio Grande,BR,2022-08-30 20:09:01,-32.035,-52.0986,64.51,78,14,11.99
264,Buchanan,LR,2022-08-30 20:11:49,5.8808,-10.0467,75.99,83,11,7.14
265,Sao Joao Da Barra,BR,2022-08-30 20:11:49,-21.6403,-41.0511,68.09,62,71,14.29
266,Coquimbo,CL,2022-08-30 20:11:49,-29.9533,-71.3436,57.92,78,91,6.67
267,Calabozo,VE,2022-08-30 20:11:50,8.9242,-67.4293,80.17,83,100,1.23
268,Manta,EC,2022-08-30 20:11:50,-0.95,-80.7333,83.98,61,75,11.5
269,Cassilandia,BR,2022-08-30 20:11:50,-19.1133,-51.7342,83.73,30,90,8.25
270,Clyde River,CA,2022-08-30 20:11:51,70.4692,-68.5914,43.03,65,75,17.27
271,Dakar,SN,2022-08-30 20:11:51,14.6937,-17.4441,80.73,83,40,18.41
272,Kemijarvi,FI,2022-08-30 20:11:51,66.7131,27.4306,43.21,76,100,3.85
273,Jasper,US,2022-08-30 20:07:11,37.2001,-94.3502,92.68,36,20,10.36
274,Ondjiva,AO,2022-08-30 20:11:52,-17.0667,15.7333,71.38,19,20,4.59
275,Biak,ID,2022-08-30 20:11:52,-0.9131,122.8766,74.57,89,93,6.06
276,Betioky,MG,2022-08-30 20:12:52,-23.7167,44.3833,63.64,80,18,2.95
277,Marawi,PH,2022-08-30 20:12:53,7.9986,124.2928,68.99,94,34,4.72
278,Vrangel,RU,2022-08-30 20:12:53,42.7297,133.0839,60.85,76,100,5.21
279,Murgab,TM,2022-08-30 20:12:53,37.4966,61.9714,78.15,20,0,9.46
280,Murindo,CO,2022-08-30 20:12:53,6.9848,-76.7544,81.99,88,73,5.3
281,Tual,ID,2022-08-30 20:12:54,-5.6667,132.75,79.66,84,7,13.67
282,Thompson,CA,2022-08-30 20:11:48,55.7435,-97.8558,57.36,47,20,13.8
283,Seoul,KR,2022-08-30 20:11:19,37.5683,126.9778,67.44,100,75,1.14
284,Nantucket,US,2022-08-30 20:07:55,41.2835,-70.0995,80.74,88,0,8.05
285,Raga,SS,2022-08-30 20:12:54,8.4596,25.678,70.38,95,23,3.18
286,Aksarka,RU,2022-08-30 20:12:55,66.5606,67.7975,42.13,79,85,9.89
287,Kalamb,IN,2022-08-30 20:12:55,19.05,73.95,75.78,83,89,4.43
288,San Policarpo,PH,2022-08-30 20:12:55,12.1791,125.5072,79.0,86,75,6.6
289,Udachnyy,RU,2022-08-30 20:12:56,66.4167,112.4,40.77,92,100,8.75
290,Bata,GQ,2022-08-30 20:12:56,1.8639,9.7658,76.55,89,89,6.67
291,Bambanglipuro,ID,2022-08-30 20:12:56,-7.95,110.2833,75.47,89,100,3.49
292,Nelson Bay,AU,2022-08-30 20:12:57,-32.7167,152.15,55.0,87,0,8.99
293,Gedo,ET,2022-08-30 20:12:57,9.0167,37.45,49.35,89,70,1.54
294,Kristiinankaupunki,FI,2022-08-30 20:12:57,62.2743,21.376,49.01,77,10,13.69
